player_id,player_name,position
00-0022825,,RB
00-0022826,,WR
00-0022827,,QB
00-0022840,,RB
00-0022847,,TE
00-0022864,L.McCown,QB
00-0022872,,RB
00-0022873,,WR
00-0022883,,RB
00-0022889,,WR
00-0022892,,WR
00-0022893,,RB
00-0022897,,RB
00-0022901,,WR
00-0022907,,TE
00-0022909,,WR
00-0022910,,WR
00-0022912,,QB
00-0022916,,TE
00-0022921,L.Fitzgerald,WR
00-0022922,,TE
00-0022924,B.Roethlisberger,QB
00-0022926,,RB
00-0022942,P.Rivers,QB
00-0022943,B.Watson,TE
00-0020613,,QB
00-0020679,,QB
00-0021006,,WR
00-0021317,,TE
00-0021678,,QB
00-0021712,,TE
00-0021813,,TE
00-0021852,,WR
00-0021868,,TE
00-0022027,,QB
00-0022041,,TE
00-0022055,,QB
00-0022110,,TE
00-0022143,,FB
00-0022219,,TE
00-0022255,,RB
00-0022397,,FB
00-0022431,,RB
00-0022447,,TE
00-0022484,,TE
00-0022555,,TE
00-0022564,,RB
00-0022613,,WR
00-0022701,,WR
00-0022714,,TE
00-0022733,,RB
00-0022768,,QB
00-0022774,,QB
00-0022879,,WR
00-0022929,,WR
00-0022951,,WR
00-0022970,,FB
00-0023039,,WR
00-0023063,,FB
00-0023072,,TE
00-0023074,,RB
00-0023108,,TE
00-0023151,,WR
00-0023163,,TE
00-0023176,,WR
00-0023192,,RB
00-0023217,,TE
00-0023248,,TE
00-0023436,A.Smith,QB
00-0023437,,RB
00-0023438,,WR
00-0023439,,RB
00-0023440,,RB
00-0023442,,WR
00-0023452,,WR
00-0023456,,WR
00-0023457,,WR
00-0023459,A.Rodgers,QB
00-0023462,,WR
00-0023465,,TE
00-0023470,,WR
00-0023474,,WR
00-0023479,,RB
00-0023490,,WR
00-0023493,,WR
00-0023496,,WR
00-0023500,F.Gore,RB
00-0023502,,QB
00-0023503,,WR
00-0023506,,TE
00-0023508,,RB
00-0023512,,RB
00-0023518,,WR
00-0023531,,WR
00-0023541,,QB
00-0023544,,RB
00-0023545,,RB
00-0023547,,RB
00-0023549,,WR
00-0023561,,RB
00-0023564,D.Sproles,RB
00-0023570,,WR
00-0023576,,RB
00-0023578,D.Orlovsky,QB
00-0023591,,RB
00-0023607,,WR
00-0023612,,TE
00-0023615,,RB
00-0023623,,WR
00-0023625,,WR
00-0023630,,TE
00-0023654,,RB
00-0023658,,WR
00-0023662,M.Cassel,QB
00-0023676,,RB
00-0023679,,TE
00-0023682,R.Fitzpatrick,QB
00-0023683,,FB
00-0023701,,WR
00-0023704,,TE
00-0001222,,TE
00-0004811,,K
00-0010072,,K
00-0019153,,RB
00-0020565,,QB
00-0020804,,FB
00-0021129,,WR
00-0021629,,WR
00-0021886,,WR
00-0022228,,RB
00-0022307,,WR
00-0022308,,WR
00-0022421,,WR
00-0022590,,QB
00-0022724,,TE
00-0022746,,TE
00-0022773,,RB
00-0022801,,RB
00-0022817,,TE
00-0022886,,FB
00-0022999,J.Kuhn,FB
00-0023064,,RB
00-0023159,,RB
00-0023218,,TE
00-0023222,,WR
00-0023258,,TE
00-0023310,,WR
00-0023367,,WR
00-0023426,,RB
00-0023429,,WR
00-0023460,,QB
00-0023489,,RB
00-0023504,,QB
00-0023521,,TE
00-0023645,D.Anderson,QB
00-0023657,,WR
00-0023844,,RB
00-0023859,,QB
00-0023867,,WR
00-0023878,,TE
00-0023889,,WR
00-0023891,,RB
00-0023897,,TE
00-0023947,,WR
00-0023953,,WR
00-0023968,,WR
00-0023981,,WR
00-0024011,,RB
00-0024013,,WR
00-0024044,,WR
00-0024174,,WR
00-0024189,,RB
00-0024202,,RB
00-0024217,,RB
00-0024218,,QB
00-0024221,V.Davis,TE
00-0024225,,QB
00-0024226,J.Cutler,QB
00-0024236,,RB
00-0024240,,WR
00-0024242,,RB
00-0024243,M.Lewis,TE
00-0024245,,RB
00-0024251,,WR
00-0024259,,WR
00-0024260,,RB
00-0024261,,TE
00-0024264,K.Clemens,QB
00-0024267,,WR
00-0024268,A.Fasano,TE
00-0024272,,WR
00-0024275,,RB
00-0024276,,TE
00-0024279,,QB
00-0024287,,TE
00-0024289,,RB
00-0024293,,WR
00-0024294,,RB
00-0024296,,QB
00-0024297,,WR
00-0024300,,QB
00-0024301,,TE
00-0024305,,WR
00-0024308,,TE
00-0024313,,TE
00-0024315,,FB
00-0024318,,QB
00-0024324,,WR
00-0024326,,WR
00-0024332,,RB
00-0024334,B.Marshall,WR
00-0024359,,RB
00-0024362,,QB
00-0024369,,TE
00-0024380,,TE
00-0024384,,RB
00-0024389,De.Walker,TE
00-0024394,,FB
00-0024398,,WR
00-0024404,,WR
00-0024407,,WR
00-0024408,,QB
00-0024465,,WR
00-0024466,,WR
00-0024489,,FB
00-0022206,,RB
00-0022240,,WR
00-0022290,,FB
00-0022403,,WR
00-0022434,,RB
00-0022529,,FB
00-0022984,,RB
00-0023051,,TE
00-0023158,,QB
00-0023179,,TE
00-0023251,,RB
00-0023252,R.Gould,K
00-0023408,,WR
00-0023551,,WR
00-0023572,,FB
00-0023655,,WR
00-0023714,,RB
00-0023764,,RB
00-0023774,,FB
00-0023784,,TE
00-0023790,,WR
00-0023806,,RB
00-0023822,,WR
00-0023858,,RB
00-0023921,,WR
00-0023928,,WR
00-0024067,,TE
00-0024069,,TE
00-0024077,,TE
00-0024148,,WR
00-0024170,,TE
00-0024171,,WR
00-0024172,,RB
00-0024204,,RB
00-0024310,,WR
00-0024321,,TE
00-0024340,,WR
00-0024345,,WR
00-0024358,,WR
00-0024364,,FB
00-0024447,,WR
00-0024463,,WR
00-0024542,,WR
00-0024549,,RB
00-0024553,,WR
00-0024607,,TE
00-0024625,,RB
00-0024682,,TE
00-0024698,,RB
00-0024756,,WR
00-0024813,,RB
00-0024824,,QB
00-0024846,,RB
00-0024850,,RB
00-0025337,,FB
00-0025388,,QB
00-0025389,,WR
00-0025394,A.Peterson,RB
00-0025396,T.Ginn,WR
00-0025399,M.Lynch,RB
00-0025409,,QB
00-0025410,,WR
00-0025417,,WR
